scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,chelator,dose_mg_L,texture,texture_sites,moisture,pe,pb_total_mol,pb_free_mol,pb_percent_free,pb_sorbed_mol,cu_total_mol,cu_free_mol,cu_percent_free,cu_sorbed_mol,zn_total_mol,zn_free_mol,zn_percent_free,zn_sorbed_mol
84,5.0,Medium,100,80,120,DTPA,200,Sand,0.1,Wet,3,0.00048263,0.0004358,90.29691482087728,0.002401,0.0012589,0.0002243,17.817141949320835,0.002466,0.0018354,0.001819,99.10646180669063,5.139e-05
85,5.0,Medium,100,80,120,None,0,Loam,0.5,Dry,12,0.00048263,0.0004323,89.57172160868573,0.008034,0.0012589,0.001248,99.13416474700134,0.04629,0.0018354,0.001823,99.32439795140023,0.0001738
86,5.0,Medium,100,80,120,EDTA,50,Loam,0.5,Dry,12,0.00048263,0.0004215,87.33398255392329,0.008229,0.0012589,0.001092,86.74239415362618,0.04252,0.0018354,0.001822,99.26991391522284,0.0001825
87,5.0,Medium,100,80,120,EDTA,200,Loam,0.5,Dry,12,0.00048263,0.0003702,76.70472204380167,0.00854,0.0012589,0.000644,51.155770911112874,0.02964,0.0018354,0.001818,99.05197777051323,0.0002151
88,5.0,Medium,100,80,120,Citrate,50,Loam,0.5,Dry,12,0.00048263,0.0003979,82.44410832314611,0.007948,0.0012589,0.001042,82.77067280959567,0.04151,0.0018354,0.001807,98.45265337256184,0.0001851
89,5.0,Medium,100,80,120,Citrate,200,Loam,0.5,Dry,12,0.00048263,0.0002686,55.65339908418457,0.00683,0.0012589,0.000499,39.637779013424414,0.02531,0.0018354,0.001714,93.38563800806364,0.0002235
90,5.0,Medium,100,80,120,DTPA,50,Loam,0.5,Dry,12,0.00048263,0.0004323,89.57172160868573,0.008324,0.0012589,0.001123,89.20486138692509,0.04313,0.0018354,0.001823,99.32439795140023,0.00018
91,5.0,Medium,100,80,120,DTPA,200,Loam,0.5,Dry,12,0.00048263,0.0004323,89.57172160868573,0.00937,0.0012589,0.0007471,59.345460322503776,0.03231,0.0018354,0.001822,99.26991391522284,0.0002025
92,5.0,Medium,100,80,120,None,0,Loam,0.5,Mesic,8,0.00048263,0.0004323,89.57172160868573,0.008034,0.0012589,0.001248,99.13416474700134,0.04629,0.0018354,0.001823,99.32439795140023,0.0001738
93,5.0,Medium,100,80,120,EDTA,50,Loam,0.5,Mesic,8,0.00048263,0.0004215,87.33398255392329,0.008229,0.0012589,0.001091,86.66295972674556,0.04252,0.0018354,0.001822,99.26991391522284,0.0001825
