scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,cd_mg_L,doc_mg_L,ca_mg_L,mg_mg_L,na_mg_L,cl_mg_L,chelator,dose_mg_L,texture,hfo_sites,moisture,pe,ca_mg_level,ionic_level,pb_percent_free,cu_percent_free,zn_percent_free,cd_percent_free,pb_sorbed_mol,cu_sorbed_mol,zn_sorbed_mol,cd_sorbed_mol
baseline_00066,5.5,Medium,100,80,120,8,10,100,50,2000,3000,None,0,Sand,0.1,Mesic,8,High,High,39.098638592449014,94.04804552433771,92.34923374653485,19.826490805271682,0.001676,0.02098,7.72e-05,7.905e-08
baseline_00067,5.5,Medium,100,80,120,8,10,20,10,100,150,None,0,Sand,0.1,Wet,3,Low,Low,88.05999682984012,30.676820254644614,99.32309918580121,83.32465660897311,0.007473,0.01355,0.0001644,6.58e-07
baseline_00068,5.5,Medium,100,80,120,8,10,100,50,100,150,None,0,Sand,0.1,Wet,3,High,Low,88.84735680149515,32.90887268642999,99.37758250954548,84.4206638965785,0.007054,0.0136,0.0001539,6.236e-07
baseline_00069,5.5,Medium,100,80,120,8,10,20,10,500,700,None,0,Sand,0.1,Wet,3,Low,Medium,70.59303745865066,4.095538198678085,97.57963282598463,50.66925998852564,0.009738,0.002941,0.0002626,6.504e-07
baseline_00070,5.5,Medium,100,80,120,8,10,100,50,500,700,None,0,Sand,0.1,Wet,3,High,Medium,71.6704774198628,4.396587263321024,97.74308279721743,52.01819203480918,0.009453,0.003018,0.0002514,6.383e-07
baseline_00071,5.5,Medium,100,80,120,8,10,20,10,2000,3000,None,0,Sand,0.1,Wet,3,Low,High,39.32655858424389,0.34902627705569245,92.34923374653485,19.995107311057122,0.005983,0.0002763,0.000274,2.829e-07
baseline_00072,5.5,Medium,100,80,120,8,10,100,50,2000,3000,None,0,Sand,0.1,Wet,3,High,High,39.74095856932549,0.35816101120712734,92.51268371776767,20.262083445217407,0.005934,0.0002783,0.0002694,2.815e-07
baseline_00073,5.5,Medium,100,80,120,8,25,20,10,100,150,None,0,Loam,0.5,Dry,12,Low,Low,80.87015708867435,96.27215470903488,98.8327492721028,79.54483660428276,0.0187,0.1158,0.0004457,1.711e-06
baseline_00074,5.5,Medium,100,80,120,8,25,100,50,100,150,None,0,Loam,0.5,Dry,12,High,Low,81.98903704839468,96.51045212168101,98.94171591959132,80.87971727508419,0.01844,0.113,0.000434,1.692e-06
baseline_00075,5.5,Medium,100,80,120,8,25,20,10,500,700,None,0,Loam,0.5,Dry,12,Low,Medium,65.57879763916328,95.63669494197855,97.0892829122862,48.25242340560096,0.0148,0.1123,0.0004274,1.013e-06
baseline_00076,5.5,Medium,100,80,120,8,25,100,50,500,700,None,0,Loam,0.5,Dry,12,High,Medium,66.63551760112138,95.87499235462468,97.25273288351902,49.48894444802754,0.01476,0.1105,0.0004201,1.02e-06
baseline_00077,5.5,Medium,100,80,120,8,25,20,10,2000,3000,None,0,Loam,0.5,Dry,12,Low,High,37.834718637950125,93.33315328639934,91.96785048032498,19.559514671111398,0.008164,0.1049,0.0003872,3.929e-07
baseline_00078,5.5,Medium,100,80,120,8,25,100,50,2000,3000,None,0,Loam,0.5,Dry,12,High,High,38.207678624523574,93.49201822816342,92.13130045155779,19.826490805271682,0.008179,0.1041,0.0003847,3.948e-07
baseline_00079,5.5,Medium,100,80,120,8,25,20,10,100,150,None,0,Loam,0.5,Mesic,8,Low,Low,80.87015708867435,96.27215470903488,98.8327492721028,79.54483660428276,0.0187,0.1158,0.0004457,1.711e-06
baseline_00080,5.5,Medium,100,80,120,8,25,100,50,100,150,None,0,Loam,0.5,Mesic,8,High,Low,81.98903704839468,96.51045212168101,98.94171591959132,80.87971727508419,0.01844,0.113,0.000434,1.692e-06
baseline_00081,5.5,Medium,100,80,120,8,25,20,10,500,700,None,0,Loam,0.5,Mesic,8,Low,Medium,65.57879763916328,95.63669494197855,97.0892829122862,48.25242340560096,0.0148,0.1123,0.0004274,1.013e-06
baseline_00082,5.5,Medium,100,80,120,8,25,100,50,500,700,None,0,Loam,0.5,Mesic,8,High,Medium,66.63551760112138,95.87499235462468,97.25273288351902,49.48894444802754,0.01476,0.1105,0.0004202,1.02e-06
baseline_00083,5.5,Medium,100,80,120,8,25,20,10,2000,3000,None,0,Loam,0.5,Mesic,8,Low,High,37.834718637950125,93.09485587375322,91.96785048032498,19.559514671111398,0.008179,0.1047,0.0003878,3.936e-07
baseline_00084,5.5,Medium,100,80,120,8,25,100,50,2000,3000,None,0,Loam,0.5,Mesic,8,High,High,38.207678624523574,93.25372081551728,92.13130045155779,19.826490805271682,0.008193,0.104,0.0003853,3.955e-07
baseline_00085,5.5,Medium,100,80,120,8,25,20,10,100,150,None,0,Loam,0.5,Wet,3,Low,Low,81.98903704839468,30.502068818704124,98.94171591959132,83.28250248252675,0.03537,0.06847,0.0008326,3.343e-06
baseline_00086,5.5,Medium,100,80,120,8,25,100,50,100,150,None,0,Loam,0.5,Wet,3,High,Low,83.10791700811498,32.726178003401294,99.05068256707986,84.39256114561425,0.03345,0.06857,0.0007777,3.161e-06
baseline_00087,5.5,Medium,100,80,120,8,25,20,10,500,700,None,0,Loam,0.5,Wet,3,Low,Medium,67.04991758620297,4.093155224551624,97.30721620726328,50.66925998852564,0.04696,0.01492,0.001329,3.301e-06
baseline_00088,5.5,Medium,100,80,120,8,25,100,50,500,700,None,0,Loam,0.5,Wet,3,High,Medium,68.16879754592328,4.392615639776922,97.47066617849609,52.00414065932707,0.04559,0.01529,0.001271,3.236e-06
baseline_00089,5.5,Medium,100,80,120,8,25,20,10,2000,3000,None,0,Loam,0.5,Wet,3,Low,High,38.414878617064375,0.34902627705569245,92.13130045155779,19.995107311057122,0.0292,0.001381,0.001366,1.414e-06
baseline_00090,5.5,Medium,100,80,120,8,25,100,50,2000,3000,None,0,Loam,0.5,Wet,3,High,High,38.80855860289189,0.35816101120712734,92.2947504227906,20.262083445217407,0.02895,0.001391,0.001343,1.407e-06
