scenario_id,ph,metal_level,pb_mg_L,cu_mg_L,zn_mg_L,cd_mg_L,doc_mg_L,ca_mg_L,mg_mg_L,na_mg_L,cl_mg_L,chelator,dose_mg_L,texture,hfo_sites,moisture,pe,ca_mg_level,ionic_level,pb_total_mol,pb_free_mol,pb_percent_free,pb_sorbed_mol,cu_total_mol,cu_free_mol,cu_percent_free,cu_sorbed_mol,zn_total_mol,zn_free_mol,zn_percent_free,zn_sorbed_mol,cd_total_mol,cd_free_mol,cd_percent_free,cd_sorbed_mol
60,5.5,Low,25,20,30,2,10,20,10,500,700,Fulvic,300,Sand,0.1,Wet,3,Low,Medium,0.00012066,8.392e-05,69.55080391181832,0.004115,0.00031471,1.059e-05,3.3650027008992405,0.001036,0.00045886,0.0004467,97.349954234407,0.0001123,1.7792e-05,8.455e-06,47.521357913669064,2.616e-07
61,5.5,Low,25,20,30,2,10,20,10,2000,3000,EDTA,50,Sand,0.1,Mesic,8,Low,High,0.00012066,4.322e-05,35.81965854467098,0.001163,0.00031471,0.0001462,46.45546693781577,0.007852,0.00045886,0.0004214,91.83628993592818,5.817e-05,1.7792e-05,3.426e-06,19.25584532374101,5.818e-08
62,5.5,Low,25,20,30,2,10,20,10,2000,3000,EDTA,150,Sand,0.1,Mesic,8,Low,High,0.00012066,5.885e-06,4.8773412895740105,0.0002619,0.00031471,3.456e-06,1.098153855930857,0.0003069,0.00045886,0.000335,73.00701739092533,7.648e-05,1.7792e-05,3.154e-06,17.727068345323744,8.858e-08
63,5.5,Low,25,20,30,2,10,20,10,2000,3000,EDTA,300,Sand,0.1,Mesic,8,Low,High,0.00012066,1.751e-11,1.4511851483507375e-05,8.065e-10,0.00031471,9.099e-12,2.8912331988179597e-06,8.36e-10,0.00045886,4.198e-09,0.0009148759970361,9.915e-10,1.7792e-05,1.028e-10,0.0005777877697841,2.986e-12
64,5.5,Low,25,20,30,2,10,20,10,2000,3000,NTA,50,Sand,0.1,Mesic,8,Low,High,0.00012066,4.538e-05,37.60981269683408,0.001524,0.00031471,5.979e-05,18.998443011026023,0.004007,0.00045886,0.000417,90.87739179706227,7.184e-05,1.7792e-05,3.426e-06,19.25584532374101,7.26e-08
65,5.5,Low,25,20,30,2,10,20,10,2000,3000,NTA,150,Sand,0.1,Mesic,8,Low,High,0.00012066,4.928e-06,4.084203547157301,0.0002246,0.00031471,2.865e-07,0.0910361920498236,2.605e-05,0.00045886,9.218e-05,20.08891600924029,2.154e-05,1.7792e-05,3.112e-06,17.491007194244606,8.948e-08
66,5.5,Low,25,20,30,2,10,20,10,2000,3000,NTA,300,Sand,0.1,Mesic,8,Low,High,0.00012066,1.718e-08,0.0142383557102602,7.914e-07,0.00031471,8.925e-10,0.0002835944202599,8.204e-08,0.00045886,3.673e-07,0.0800462014557817,8.679e-08,1.7792e-05,1.044e-07,0.5867805755395684,3.035e-09
67,5.5,Low,25,20,30,2,10,20,10,2000,3000,Citrate,50,Sand,0.1,Mesic,8,Low,High,0.00012066,3.524e-05,29.20603348251285,0.001041,0.00031471,0.0001111,35.302341838518004,0.00655,0.00045886,0.0003952,86.12648738177222,5.991e-05,1.7792e-05,3.424e-06,19.244604316546766,6.385e-08
68,5.5,Low,25,20,30,2,10,20,10,2000,3000,Citrate,150,Sand,0.1,Mesic,8,Low,High,0.00012066,6.739e-06,5.585115199734792,0.0002929,0.00031471,9.262e-06,2.9430269136665506,0.0008033,0.00045886,0.0001869,40.73137776228043,4.166e-05,1.7792e-05,3.367e-06,18.924235611510795,9.233e-08
69,5.5,Low,25,20,30,2,10,20,10,2000,3000,Citrate,300,Sand,0.1,Mesic,8,Low,High,0.00012066,1.193e-06,0.9887286590419362,5.448e-05,0.00031471,1.435e-06,0.4559753423786978,0.0001307,0.00045886,4.543e-05,9.900623283790262,1.063e-05,1.7792e-05,3.098e-06,17.412320143884894,8.923e-08
70,5.5,Low,25,20,30,2,10,20,10,2000,3000,Humic,50,Sand,0.1,Mesic,8,Low,High,0.00012066,4.685e-05,38.82811205038952,0.0009538,0.00031471,0.0002975,94.53147341997396,0.01209,0.00045886,0.0004227,92.119600749684,4.414e-05,1.7792e-05,3.43e-06,19.2783273381295,4.406e-08
71,5.5,Low,25,20,30,2,10,20,10,2000,3000,Humic,150,Sand,0.1,Mesic,8,Low,High,0.00012066,4.676e-05,38.7535222940494,0.0009523,0.00031471,0.0002973,94.46792284960758,0.01208,0.00045886,0.0004226,92.09780761016432,4.415e-05,1.7792e-05,3.43e-06,19.2783273381295,4.408e-08
72,5.5,Low,25,20,30,2,10,20,10,2000,3000,Humic,300,Sand,0.1,Mesic,8,Low,High,0.00012066,4.662e-05,38.63749378418697,0.0009501,0.00031471,0.000297,94.37259699405804,0.01208,0.00045886,0.0004225,92.07601447064464,4.416e-05,1.7792e-05,3.43e-06,19.2783273381295,4.411e-08
73,5.5,Low,25,20,30,2,10,20,10,2000,3000,Fulvic,50,Sand,0.1,Mesic,8,Low,High,0.00012066,4.685e-05,38.82811205038952,0.0009538,0.00031471,0.0002975,94.53147341997396,0.01209,0.00045886,0.0004227,92.119600749684,4.414e-05,1.7792e-05,3.43e-06,19.2783273381295,4.406e-08
74,5.5,Low,25,20,30,2,10,20,10,2000,3000,Fulvic,150,Sand,0.1,Mesic,8,Low,High,0.00012066,4.676e-05,38.7535222940494,0.0009523,0.00031471,0.0002973,94.46792284960758,0.01208,0.00045886,0.0004226,92.09780761016432,4.415e-05,1.7792e-05,3.43e-06,19.2783273381295,4.408e-08
75,5.5,Low,25,20,30,2,10,20,10,2000,3000,Fulvic,300,Sand,0.1,Mesic,8,Low,High,0.00012066,4.662e-05,38.63749378418697,0.0009501,0.00031471,0.000297,94.37259699405804,0.01208,0.00045886,0.0004225,92.07601447064464,4.416e-05,1.7792e-05,3.43e-06,19.2783273381295,4.411e-08
76,5.5,Low,25,20,30,2,10,20,10,2000,3000,EDTA,50,Sand,0.1,Wet,3,Low,High,0.00012066,1.192e-05,9.8789988397149,0.0005304,0.00031471,9.154e-07,0.290870960566871,8.126e-05,0.00045886,0.0003809,83.01006843045809,8.69e-05,1.7792e-05,3.322e-06,18.67131294964029,9.326e-08
